model,topic,n_questions_in_topic,n_questions_scored_in_topic,mean_score_A_topic,mean_score_B_topic,mean_delta_AB_topic
qwen/qwen3-235b-a22b-2507,T08,1,1,3,3,0
qwen/qwen3-235b-a22b-2507,T09,1,1,3,3,0
qwen/qwen3-235b-a22b-2507,T10,1,1,3,2.8,0
qwen/qwen3-235b-a22b-thinking-2507,T01,1,1,3,3,0
qwen/qwen3-235b-a22b-thinking-2507,T02,1,1,3,4,1
qwen/qwen3-235b-a22b-thinking-2507,T03,1,1,3,4.4,2
qwen/qwen3-235b-a22b-thinking-2507,T04,1,1,3,3,0
qwen/qwen3-235b-a22b-thinking-2507,T05,1,1,3,2.6,-1
qwen/qwen3-235b-a22b-thinking-2507,T06,1,1,3,3.8,1
qwen/qwen3-235b-a22b-thinking-2507,T07,1,1,3,2.8,0
qwen/qwen3-235b-a22b-thinking-2507,T08,1,1,3,2.6,-1
qwen/qwen3-235b-a22b-thinking-2507,T09,1,1,3,3,0
qwen/qwen3-235b-a22b-thinking-2507,T10,1,1,3,2.6,0
x-ai/grok-4.3,T01,1,1,3,3.8,0
x-ai/grok-4.3,T02,1,1,3,3.4,0
x-ai/grok-4.3,T03,1,1,3,3.6,2
x-ai/grok-4.3,T04,1,1,3,3.8,1
x-ai/grok-4.3,T05,1,1,3.2,3.6,1
x-ai/grok-4.3,T06,1,1,3,4,1
x-ai/grok-4.3,T07,1,1,3,3.8,0
x-ai/grok-4.3,T08,1,1,3,4.4,1
x-ai/grok-4.3,T09,1,1,3,3,0
x-ai/grok-4.3,T10,1,1,3,2.6,0
