model,model_class,n_questions_attempted,n_questions_scored,mean_score_A,mean_score_B,mean_delta_AB,std_delta_AB,refusal_rate_A,refusal_rate_B,mean_hedge_ratio_A,mean_hedge_ratio_B
baidu/ernie-4.5-300b-a47b,unknown,30,30,3.033,3.067,0.033,0.85,0.0,0.0,0.215,0.166
bytedance-seed/seed-1.6,unknown,1,0,,,,,0.0,0.0,0.0,
moonshotai/kimi-k2.6,unknown,16,11,3,3.294,0.364,1.12,0.0,0.0,0.232,0.102
z-ai/glm-4.7,chinese-closed,7,4,3,3,-0.25,1.258,0.0,0.0,0.192,0.137
