model,model_class,n_questions_attempted,n_questions_scored,mean_score_A,mean_score_B,mean_delta_AB,std_delta_AB,refusal_rate_A,refusal_rate_B,mean_hedge_ratio_A,mean_hedge_ratio_B
deepseek-r1-distill-7b-abliterated,unknown,10,7,3,2.857,-0.143,0.9,0.0,0.0,0.31,0.149
deepseek-r1-distill-7b-stock,unknown,10,10,2.9,2.8,-0.1,0.316,0.0,0.0,0.248,0.191
llama-3.1-8b-abliterated,us-open-local,10,10,3,3,0,0.0,0.0,0.0,0.305,0.262
llama-3.1-8b-stock,us-open-local,10,10,3,3,0,0.0,0.0,0.0,0.333,0.288
mistral-7b-abliterated,european-local,10,10,2.9,2.8,-0.1,0.316,0.0,0.0,0.3,0.22
mistral-7b-stock,european-local,10,10,3,2.9,-0.1,0.316,0.0,0.0,0.311,0.357
qwen2.5-7b-abliterated,chinese-open-local,10,10,3,3,0,0.0,0.0,0.0,0.253,0.259
qwen2.5-7b-stock,chinese-open-local,10,10,3,2.9,-0.1,0.316,0.0,0.0,0.289,0.302
