model,model_class,n_questions_attempted,n_questions_scored,mean_score_A,mean_score_B,mean_delta_AB,std_delta_AB,refusal_rate_A,refusal_rate_B,mean_hedge_ratio_A,mean_hedge_ratio_B
anthropic/claude-opus-4.7,us-closed,0,0,,,,,0.0,0.0,,
x-ai/grok-4.3,us-closed,0,0,,,,,0.0,0.0,,
