model,model_class,n_questions_attempted,n_questions_scored,mean_score_A,mean_score_B,mean_delta_AB,std_delta_AB,refusal_rate_A,refusal_rate_B,mean_hedge_ratio_A,mean_hedge_ratio_B
anthropic/claude-opus-4.7,us-closed,30,30,3,3.8,0.8,0.714,0.0,0.0,0.145,0.104
deepseek/deepseek-v3.2,chinese-open,30,30,3,3.1,0.1,0.403,0.0,0.0,0.181,0.2
google/gemma-2-27b-it,us-open,30,30,3,3,0,0.0,0.0,0.1,0.314,0.313
mistralai/mistral-large,european,30,30,2.967,3,0.033,0.183,0.0,0.0,0.175,0.118
openai/gpt-4.1,us-closed,30,30,3,2.933,-0.067,0.521,0.0,0.0,0.218,0.209
x-ai/grok-4.3,us-closed,30,30,3,3.733,0.733,0.691,0.0,0.0,0.123,0.056
