model,model_class,n_questions_attempted,n_questions_scored,mean_score_A,mean_score_B,mean_delta_AB,std_delta_AB,refusal_rate_A,refusal_rate_B,mean_hedge_ratio_A,mean_hedge_ratio_B
qwen2.5-7b-abliterated,chinese-open-local,10,10,3,3,0,0.0,0.0,0.0,0.253,0.259
qwen2.5-7b-stock,chinese-open-local,10,10,3,2.9,-0.1,0.316,0.0,0.0,0.289,0.302
