model,model_class,n_questions_attempted,n_questions_scored,mean_score_A,mean_score_B,mean_delta_AB,std_delta_AB,refusal_rate_A,refusal_rate_B,mean_hedge_ratio_A,mean_hedge_ratio_B
anthropic/claude-sonnet-4.6,us-closed,30,30,3.1,3.533,0.433,0.626,0.0,0.0,0.177,0.157
deepseek/deepseek-r1,chinese-open,30,29,2.867,3,0.138,0.99,0.0,0.0,0.147,0.11
google/gemini-3.1-pro-preview,us-closed,30,17,2.565,2.818,0.412,1.004,0.0,0.0,0.107,0.061
google/gemma-2-9b-it,us-open,30,0,,,,,0.0,0.0,0.0,0.0
openai/gpt-5,us-closed,30,30,2.633,2.467,-0.167,0.747,0.0,0.0,0.0,0.0
qwen/qwen3-235b-a22b-2507,chinese-open,30,30,3,3.333,0.333,0.884,0.0,0.0,0.235,0.165
qwen/qwen3-235b-a22b-thinking-2507,chinese-open,30,30,3,3.433,0.433,1.04,0.0,0.0,0.177,0.078
