model,model_class,n_questions_attempted,n_questions_scored,mean_score_A,mean_score_B,mean_delta_AB,std_delta_AB,refusal_rate_A,refusal_rate_B,mean_hedge_ratio_A,mean_hedge_ratio_B
gemma-2-9b-abliterated,us-open-local,10,10,3,3,0,0.0,0.0,0.1,0.304,0.311
gemma-2-9b-stock,us-open-local,10,10,3,3,0,0.0,0.0,0.0,0.275,0.294
